Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1394.84,2.69,1741.34,74.21,91.82,158,1,0,40.345672845840454,1
2,Training,1181.97,2.29,1557.77,84.91,94.34,158,0,1,10.861505508422852,4
3,Training,1122.32,2.20,1664.67,87.42,93.71,156,1,2,76.95061802864075,9
4,Training,1288.62,2.60,1997.49,84.91,91.82,159,0,0,54.31353545188904,9
5,Training,1409.14,2.90,2202.04,82.39,89.31,159,0,0,53.9603545665741,9
6,Training,1495.04,3.09,2289.77,79.25,86.79,159,0,0,54.91376209259033,9
7,Training,1598.99,3.34,2406.69,76.1,84.91,159,0,0,59.206600189208984,9
8,Training,1556.22,3.27,2269.33,77.99,84.91,157,1,1,82.2043149471283,12
9,Training,1768.53,3.65,2167.43,64.78,85.53,155,0,4,82.977703332901,24
10,Training,1786.86,3.71,2209.06,64.15,84.91,156,0,3,122.22775673866272,33
11,Training,1763.21,3.71,2228.09,64.78,86.16,156,0,3,158.47868037223816,42
12,Training,1769.24,3.77,2243.81,64.78,84.91,158,0,1,192.588285446167,45
13,Training,1840.64,4.00,2358.12,63.52,84.28,158,0,1,212.14284920692444,48
14,Training,1818.59,3.96,2352.17,64.15,84.28,155,0,4,241.39350724220276,60
15,Training,1834.54,4.03,2369.2,62.89,83.02,157,0,2,279.54932260513306,66
16,Training,1834.2,4.08,2367.89,63.52,83.65,159,0,0,289.02482652664185,66
17,Training,1799.25,4.05,2347.03,64.78,83.65,159,0,0,295.83386635780334,66
18,Training,1796.98,4.07,2346.36,64.15,83.65,159,0,0,314.0853762626648,66
19,Training,1862.72,4.28,2445.35,63.52,81.76,159,0,0,325.63654470443726,66
20,Training,1889.81,4.38,2515.65,62.89,81.13,157,0,2,303.2440822124481,72
21,Training,1848.91,4.31,2472.62,63.52,81.76,158,0,1,319.5859785079956,75
22,Training,1885.4,4.43,2551.28,62.89,81.13,158,0,1,337.84217405319214,78
23,Training,1939.8,4.60,2624.31,61.64,79.25,158,0,1,342.2592103481293,81
24,Training,1981.93,4.75,2707.47,61.01,77.99,157,0,2,348.4945902824402,87
25,Training,1950.79,4.72,2695.72,62.26,78.62,157,0,2,401.09111166000366,93
26,Training,2034.08,4.91,2812.29,61.01,77.36,159,0,0,445.59968972206116,93
27,Training,2031.68,4.90,2811.98,61.01,77.36,158,0,1,446.3194851875305,96
28,Training,1980.03,4.80,2792.39,62.89,77.36,155,0,4,487.3726575374603,108
29,Training,2018.67,4.89,2880.3,62.89,76.1,157,0,2,533.6313209533691,114
30,Training,2038.94,4.94,2909.98,62.26,75.47,157,0,2,564.6465995311737,120
31,Training,2083.56,5.03,2946.22,61.01,73.58,159,0,0,569.730397939682,120
32,Training,2113.31,5.10,2991.17,59.75,72.96,158,0,1,579.2931990623474,123
33,Training,2154.59,5.20,3049.17,58.49,72.33,157,0,2,592.7594964504242,129
34,Training,2191.55,5.28,3092.12,57.86,71.7,158,0,1,618.8432383537292,132
35,Training,2165.36,5.23,3085.78,57.86,71.7,155,0,4,674.0649466514587,144
36,Training,2156.83,5.21,3084.49,57.86,71.7,155,0,4,734.5008835792542,156
37,Training,2291.74,5.48,3266.05,55.35,69.18,159,0,0,740.6832835674286,156
38,Training,2250.58,5.39,3255.02,55.97,69.18,155,0,4,765.0923278331757,168
39,Training,2183.47,5.25,3226.69,58.49,69.18,155,0,4,785.8023216724396,174
40,Training,2144.48,5.17,3212.93,59.75,69.18,155,0,4,834.3760430812836,184
41,Training,2110.09,5.09,3202.0,60.38,69.18,155,0,4,836.976095199585,196
